Command,Response_LLM,Response_GPT,Response_Cowrie,Response_Ubuntu,CosineSimilarity_LLM-Ubuntu,CosineSimilarity_GPT-Ubuntu,CosineSimilarity_Cowrie-Ubuntu,echo_Ubuntu,LLM,GPT,Cowrie
journalctl,"# journalctl
> Query the systemd journal. More information: https://manned.org/journalctl.
  * Show all messages with priority level 3 (errors) from this [b]oot:
`journalctl -b --priority={{3}}`
  * Show all messages from last [b]oot:
`journalctl -b -1`
  * Delete journal logs which are older than 2 days:
`journalctl --vacuum-time={{2d}}`
  * [f]ollow new messages (like `tail -f` for traditional syslog):
`journalctl -f`
  * Show all messages by a specific [u]nit:
`journalctl -u {{unit}}`
  * Filter messages within a time range (either timestamp or placeholders like ""yesterday""):
`journalctl --since {{now|today|yesterday|tomorrow}} --until {{YYYY-MM-DD
HH:MM:SS}}`
  * Show all messages by a specific process:
`journalctl _PID={{pid}}`
  * Show all messages by a specific executable:
`journalctl {{path/to/executable}}`","-- Logs begin at Mon 2023-10-02 10:00:00 UTC, end at Mon 2023-10-02 10:30:00 UTC. --
Oct 02 10:00:01 hostname systemd[1]: Started Session 1 of user user.
Oct 02 10:00:02 hostname systemd[1]: Starting User Runtime Directory /run/user/1000...
Oct 02 10:00:02 hostname systemd[1]: Started User Runtime Directory /run/user/1000.
Oct 02 10:00:02 hostname systemd[1]: Starting User Manager for UID 1000...
Oct 02 10:00:02 hostname systemd[1000]: Listening on GnuPG cryptographic agent and passphrase cache.
Oct 02 10:00:02 hostname systemd[1000]: Listening on GnuPG cryptographic agent and passphrase cache (restricted).
Oct 02 10:00:02 hostname systemd[1000]: Reached target Timers.
Oct 02 10:00:02 hostname systemd[1000]: Reached target Paths.
Oct 02 10:00:02 hostname systemd[1000]: Reached target Sockets.
Oct 02 10:00:02 hostname systemd[1000]: Reached target Basic System.
Oct 02 10:00:02 hostname systemd[1000]: Reached target Default.
Oct 02 10:00:02 hostname systemd[1]: Started User Manager for UID 1000.",,"Logs begin at Tue 2023-11-07 21:27:43 PST, end at Wed 2025-01-01 09:17:48 PST. --
Nov 07 21:27:43 ubuntu kernel: Linux version 5.15.0-88-generic (buildd@lcy02-amd64-011) (gcc (Ubuntu 9.4.0-1ubuntu1~20.04.2) 9.4.0, GNU ld (GNU Binutils for Ubuntu) 2.34) #98~20.04.1-Ubuntu SMP Mon Oct 9 16:43:45 UTC 2023 (Ubuntu 5.15.0-88.98~20.04.1-generic 5.15.126)
Nov 07 21:27:43 ubuntu kernel: Command line: BOOT_IMAGE=/boot/vmlinuz-5.15.0-88-generic root=UUID=ed0b9ca7-ecb9-4efd-91c0-1e469faf2f30 ro find_preseed=/preseed.cfg auto noprompt priority=critical locale=en_US quiet
Nov 07 21:27:43 ubuntu kernel: KERNEL supported cpus:
Nov 07 21:27:43 ubuntu kernel:   Intel GenuineIntel
Nov 07 21:27:43 ubuntu kernel:   AMD AuthenticAMD
Nov 07 21:27:43 ubuntu kernel:   Hygon HygonGenuine
Nov 07 21:27:43 ubuntu kernel:   Centaur CentaurHauls
Nov 07 21:27:43 ubuntu kernel:   zhaoxin   Shanghai  
Nov 07 21:27:43 ubuntu kernel: BIOS-provided physical RAM map:
Nov 07 21:27:43 ubuntu kernel: BIOS-e820: [mem 0x0000000000000000-0x000000000009e7ff] usable
Nov 07 21:27:43 ubuntu kernel: BIOS-e820: [mem 0x000000000009e800-0x000000000009ffff] reserved
Nov 07 21:27:43 ubuntu kernel: BIOS-e820: [mem 0x00000000000dc000-0x00000000000fffff] reserved
Nov 07 21:27:43 ubuntu kernel: BIOS-e820: [mem 0x0000000000100000-0x00000000bfecffff] usable
Nov 07 21:27:43 ubuntu kernel: BIOS-e820: [mem 0x00000000bfed0000-0x00000000bfefefff] ACPI data
Nov 07 21:27:43 ubuntu kernel: BIOS-e820: [mem 0x00000000bfeff000-0x00000000bfefffff] ACPI NVS
Nov 07 21:27:43 ubuntu kernel: BIOS-e820: [mem 0x00000000bff00000-0x00000000bfffffff] usable
Nov 07 21:27:43 ubuntu kernel: BIOS-e820: [mem 0x00000000f0000000-0x00000000f7ffffff] reserved
Nov 07 21:27:43 ubuntu kernel: BIOS-e820: [mem 0x00000000fec00000-0x00000000fec0ffff] reserved
Nov 07 21:27:43 ubuntu kernel: BIOS-e820: [mem 0x00000000fee00000-0x00000000fee00fff] reserved
Nov 07 21:27:43 ubuntu kernel: BIOS-e820: [mem 0x00000000fffe0000-0x00000000ffffffff] reserved
Nov 07 21:27:43 ubuntu kernel: BIOS-e820: [mem 0x0000000100000000-0x000000013fffffff] usable
Nov 07 21:27:43 ubuntu kernel: NX (Execute Disable) protection: active
Nov 07 21:27:43 ubuntu kernel: SMBIOS 2.7 present.
Nov 07 21:27:43 ubuntu kernel: DMI: VMware, Inc. VMware Virtual Platform/440BX Desktop Reference Platform, BIOS 6.00 11/12/2020
Nov 07 21:27:43 ubuntu kernel: vmware: hypercall mode: 0x01
Nov 07 21:27:43 ubuntu kernel: Hypervisor detected: VMware
Nov 07 21:27:43 ubuntu kernel: vmware: TSC freq read from hypervisor : 3194.003 MHz
Nov 07 21:27:43 ubuntu kernel: vmware: Host bus clock speed read from hypervisor : 66000000 Hz
Nov 07 21:27:43 ubuntu kernel: vmware: using clock offset of 5171947854 ns
Nov 07 21:27:43 ubuntu kernel: tsc: Detected 3194.003 MHz processor
Nov 07 21:27:43 ubuntu kernel: e820: update [mem 0x00000000-0x00000fff] usable ==> reserved
Nov 07 21:27:43 ubuntu kernel: e820: remove [mem 0x000a0000-0x000fffff] usable
Nov 07 21:27:43 ubuntu kernel: last_pfn = 0x140000 max_arch_pfn = 0x400000000
Nov 07 21:27:43 ubuntu kernel: x86/PAT: Configuration [0-7]: WB  WC  UC- UC  WB  WP  UC- WT  
Nov 07 21:27:43 ubuntu kernel: total RAM covered: 130048M
Nov 07 21:27:43 ubuntu kernel: Found optimal setting for mtrr clean up
Nov 07 21:27:43 ubuntu kernel:  gran_size: 64K         chunk_size: 64K         num_reg: 7          lose cover RAM: 0G
Nov 07 21:27:43 ubuntu kernel: e820: update [mem 0xc0000000-0xffffffff] usable ==> reserved
Nov 07 21:27:43 ubuntu kernel: last_pfn = 0xc0000 max_arch_pfn = 0x400000000
Nov 07 21:27:43 ubuntu kernel: found SMP MP-table at [mem 0x000f6a70-0x000f6a7f]
Nov 07 21:27:43 ubuntu kernel: Using GB pages for direct mapping
Nov 07 21:27:43 ubuntu kernel: RAMDISK: [mem 0x2f2eb000-0x3396cfff]
Nov 07 21:27:43 ubuntu kernel: ACPI: Early table checksum verification disabled
Nov 07 21:27:43 ubuntu kernel: ACPI: RSDP 0x00000000000F6A00 000024 (v02 PTLTD )
Nov 07 21:27:43 ubuntu kernel: ACPI: XSDT 0x00000000BFEDC633 00005C (v01 INTEL  440BX    06040000 VMW  01324272)
Nov 07 21:27:43 ubuntu kernel: ACPI: FACP 0x00000000BFEFEE73 0000F4 (v04 INTEL  440BX    06040000 PTL  000F4240)
Nov 07 21:27:43 ubuntu kernel: ACPI: DSDT 0x00000000BFEDD9E8 02148B (v01 PTLTD  Custom   06040000 MSFT 03000001)
Nov 07 21:27:43 ubuntu kernel: ACPI: FACS 0x00000000BFEFFFC0 000040",0.000499996,0.001872389,0.0,0,SALNLC,SALNLC,SALNLC
head,"# head
> Output the first part of files. More information:
> https://keith.github.io/xcode-man-pages/head.1.html.
  * Output the first few lines of a file:
`head --lines {{8}} {{path/to/file}}`
  * Output the first few bytes of a file:
`head --bytes {{8}} {{path/to/file}}`
  * Output everything but the last few lines of a file:
`head --lines -{{8}} {{path/to/file}}`
  * Output everything but the last few bytes of a file:
`head --bytes -{{8}} {{path/to/file}}`",head: command not found ,no respond,Command timed out,0.0,0.134389941,0.0,Timeout,FALNLC,FALNLC,FALNLC
basename,"# basename
> Remove leading directory portions from a path. More information:
> https://www.gnu.org/software/coreutils/basename.
  * Show only the file name from a path:
`basename {{path/to/file}}`
  * Show only the rightmost directory name from a path:
`basename {{path/to/directory/}}`
  * Show only the file name from a path, with a suffix removed:
`basename {{path/to/file}} {{suffix}}`",basename: command not found,,"basename: missing operand
Try 'basename --help' for more information.",0.580152177,0.753261816,0.0,1,FALNLC,FALC,FALNLC
git-maintenance,"# git-maintenance
> Run tasks to optimize Git repository data. More information: https://git-
> scm.com/docs/git-maintenance.
  * Register the current repository in the user's list of repositories to daily have maintenance run:
`git maintenance register`
  * Start running maintenance on the current repository:
`git maintenance start`
  * Halt the background maintenance schedule for the current repository:
`git maintenance stop`
  * Remove the current repository from the user's maintenance repository list:
`git maintenance unregister`
  * Run a specific maintenance task on the current repository:
`git maintenance run --task={{commit-graph|gc|incremental-repack|loose-
objects|pack-refs|prefetch}}`",git-maintenance: command not found ,,/bin/sh: 1: git-maintenance: not found,0.68297181,0.887106761,0.0,127,FALNLC,FALC,FALNLC
git-diff-files,"# git diff-files
> Compare files using their sha1 hashes and modes. More information:
> https://git-scm.com/docs/git-diff-files.
  * Compare all changed files:
`git diff-files`
  * Compare only specified files:
`git diff-files {{path/to/file}}`
  * Show only the names of changed files:
`git diff-files --name-only`
  * Output a summary of extended header information:
`git diff-files --summary`",git-diff-files: command not found ,,/bin/sh: 1: git-diff-files: not found,0.661500495,0.890498552,0.0,127,FALNLC,FALC,FALNLC
mv,"# mv
> Move or rename files and directories. More information:
> https://www.gnu.org/software/coreutils/mv.
  * Rename a file or directory when the target is not an existing directory:
`mv {{path/to/source}} {{path/to/target}}`
  * Move a file or directory into an existing directory:
`mv {{path/to/source}} {{path/to/existing_directory}}`
  * Move multiple files into an existing directory, keeping the filenames unchanged:
`mv {{path/to/source1 path/to/source2 ...}} {{path/to/existing_directory}}`
  * Do not prompt for confirmation before overwriting existing files:
`mv -f {{path/to/source}} {{path/to/target}}`
  * Prompt for confirmation before overwriting existing files, regardless of file permissions:
`mv -i {{path/to/source}} {{path/to/target}}`
  * Do not overwrite existing files at the target:
`mv -n {{path/to/source}} {{path/to/target}}`
  * Move files in verbose mode, showing files after they are moved:
`mv -v {{path/to/source}} {{path/to/target}}`","mv: missing file operand
Try 'mv --help' for more information.",,"mv: missing file operand
Try 'mv --help' for more information.",0.371036379,1.0,0.0,1,FALNLC,FALC,FALNLC
loginctl,"# loginctl
> Manage the systemd login manager. More information:
> https://www.freedesktop.org/software/systemd/man/loginctl.html.
  * Print all current sessions:
`loginctl list-sessions`
  * Print all properties of a specific session:
`loginctl show-session {{session_id}} --all`
  * Print all properties of a specific user:
`loginctl show-user {{username}}`
  * Print a specific property of a user:
`loginctl show-user {{username}} --property={{property_name}}`
  * Execute a `loginctl` operation on a remote host:
`loginctl list-users -H {{hostname}}`","SESSION  UID USER     SEAT             TTY             REMAINING  SERVICE
     1  1000 user     seat0            tty1            n/a       getty
     2  1001 user     seat0            tty2            n/a       getty
     3  1002 user     seat0            tty3            n/a       getty
     4  1003 user     seat0            tty4            n/a       getty
     5  1004 user     seat0            tty5            n/a       getty
     6  1005 user     seat0            tty6            n/a       getty

3 sessions listed.",,"SESSION  UID USER  SEAT  TTY 
      2 1000 user seat0 tty2

1 sessions listed.",0.15401377,0.534485433,0.0,0,SALNLC,SALNLC,SALNLC
runuser,"# runuser
> Run commands as a specific user and group without asking for password (needs
> root privileges). More information: https://manned.org/runuser.
  * Run command as a different user:
`runuser {{user}} -c '{{command}}'`
  * Run command as a different user and group:
`runuser {{user}} -g {{group}} -c '{{command}}'`
  * Start a login shell as a specific user:
`runuser {{user}} -l`
  * Specify a shell for running instead of the default shell (also works for login):
`runuser {{user}} -s {{/bin/sh}}`
  * Preserve the entire environment of root (only if `--login` is not specified):
`runuser {{user}} --preserve-environment -c '{{command}}'`",runuser: command not found ,,runuser: may not be used by non-root users,0.384039293,0.420581439,0.0,1,FALNLC,FALNLC,FALNLC
man,"# man
> Format and display manual pages. More information:
> https://www.man7.org/linux/man-pages/man1/man.1.html.
  * Display the man page for a command:
`man {{command}}`
  * Display the man page for a command from section 7:
`man {{7}} {{command}}`
  * List all available sections for a command:
`man -f {{command}}`
  * Display the path searched for manpages:
`man --path`
  * Display the location of a manpage rather than the manpage itself:
`man -w {{command}}`
  * Display the man page using a specific locale:
`man {{command}} --locale={{locale}}`
  * Search for manpages containing a search string:
`man -k ""{{search_string}}""`",No manual entry for man,,"What manual page do you want?
For example, try 'man man'.",0.443321298,0.490422409,0.0,1,FALNLC,FALNLC,FALNLC
git-cherry,"# git cherry
> Find commits that have yet to be applied upstream. More information:
> https://git-scm.com/docs/git-cherry.
  * Show commits (and their messages) with equivalent commits upstream:
`git cherry -v`
  * Specify a different upstream and topic branch:
`git cherry {{origin}} {{topic}}`
  * Limit commits to those within a given limit:
`git cherry {{origin}} {{topic}} {{base}}`",git-cherry: command not found  ,,/bin/sh: 1: git-cherry: not found,0.543752217,0.877948674,0.0,127,FALNLC,FALC,FALNLC
fold,"# fold
> Wrap each line in an input file to fit a specified width and print it to
> `stdout`. More information: https://manned.org/fold.1p.
  * Wrap each line to default width (80 characters):
`fold {{path/to/file}}`
  * Wrap each line to width ""30"":
`fold -w30 {{path/to/file}}`
  * Wrap each line to width ""5"" and break the line at spaces (puts each space separated word in a new line, words with length > 5 are wrapped):
`fold -w5 -s {{path/to/file}}`",fold: command not found,,Command timed out,0.0,0.117396889,0.0,Timeout,FALNLC,FALNLC,FALNLC
dirname,"# dirname
> Calculates the parent directory of a given file or directory path. More
> information: https://www.gnu.org/software/coreutils/dirname.
  * Calculate the parent directory of a given path:
`dirname {{path/to/file_or_directory}}`
  * Calculate the parent directory of multiple paths:
`dirname {{path/to/file_a}} {{path/to/directory_b}}`
  * Delimit output with a NUL character instead of a newline (useful when combining with `xargs`):
`dirname --zero {{path/to/directory_a}} {{path/to/file_b}}`","dirname: missing operand
Try 'dirname --help' for more information.",,"dirname: missing operand
Try 'dirname --help' for more information.",0.518408842,1.0,0.0,1,FALNLC,FALC,FALNLC
base32,"# base32
> Encode or decode file or `stdin` to/from Base32, to `stdout`. More
> information: https://www.gnu.org/software/coreutils/base32.
  * Encode a file:
`base32 {{path/to/file}}`
  * Decode a file:
`base32 --decode {{path/to/file}}`
  * Encode from `stdin`:
`{{somecommand}} | base32`
  * Decode from `stdin`:
`{{somecommand}} | base32 --decode`",base32: command not found,,Command timed out,0.0,0.117396889,0.0,Timeout,FALNLC,FALNLC,FALNLC
git-commit-tree,"# git commit-tree
> Low level utility to create commit objects. See also: `git commit`. More
> information: https://git-scm.com/docs/git-commit-tree.
  * Create a commit object with the specified message:
`git commit-tree {{tree}} -m ""{{message}}""`
  * Create a commit object reading the message from a file (use `-` for `stdin`):
`git commit-tree {{tree}} -F {{path/to/file}}`
  * Create a GPG-signed commit object:
`git commit-tree {{tree}} -m ""{{message}}"" --gpg-sign`
  * Create a commit object with the specified parent commit object:
`git commit-tree {{tree}} -m ""{{message}}"" -p {{parent_commit_sha}}`",git-commit-tree: command not found,,/bin/sh: 1: git-commit-tree: not found,0.674359444,0.907903771,0.0,127,FALNLC,FALC,FALNLC
git-init,"# git init
> Initializes a new local Git repository. More information: https://git-
> scm.com/docs/git-init.
  * Initialize a new local repository:
`git init`
  * Initialize a repository with the specified name for the initial branch:
`git init --initial-branch={{branch_name}}`
  * Initialize a repository using SHA256 for object hashes (requires Git version 2.29+):
`git init --object-format={{sha256}}`
  * Initialize a barebones repository, suitable for use as a remote over ssh:
`git init --bare`",fatal: not a git repository (or any of the parent directories): .git,,/bin/sh: 1: git-init: not found,0.494212766,0.18535546,0.0,127,FALNLC,FALNLC,FALNLC
sed,"# sed
> Edit text in a scriptable manner. See also: `awk`, `ed`. More information:
> https://keith.github.io/xcode-man-pages/sed.1.html.
  * Replace all `apple` (basic regex) occurrences with `mango` (basic regex) in all input lines and print the result to `stdout`:
`{{command}} | sed 's/apple/mango/g'`
  * Execute a specific script [f]ile and print the result to `stdout`:
`{{command}} | sed -f {{path/to/script_file.sed}}`
  * Replace all `apple` (extended regex) occurrences with `APPLE` (extended regex) in all input lines and print the result to `stdout`:
`{{command}} | sed -E 's/(apple)/\U\1/g'`
  * Print just a first line to `stdout`:
`{{command}} | sed -n '1p'`
  * Replace all `apple` (basic regex) occurrences with `mango` (basic regex) in a `file` and save a backup of the original to `file.bak`:
`sed -i bak 's/apple/mango/g' {{path/to/file}}`"," sed: missing command
Try 'sed --help' for more information. ",,"Usage: sed [OPTION]... {script-only-if-no-other-script} [input-file]...

  -n, --quiet, --silent
                 suppress automatic printing of pattern space
      --debug
                 annotate program execution
  -e script, --expression=script
                 add the script to the commands to be executed
  -f script-file, --file=script-file
                 add the contents of script-file to the commands to be executed
  --follow-symlinks
                 follow symlinks when processing in place
  -i[SUFFIX], --in-place[=SUFFIX]
                 edit files in place (makes backup if SUFFIX supplied)
  -l N, --line-length=N
                 specify the desired line-wrap length for the `l' command
  --posix
                 disable all GNU extensions.
  -E, -r, --regexp-extended
                 use extended regular expressions in the script
                 (for portability use POSIX -E).
  -s, --separate
                 consider files as separate rather than as a single,
                 continuous long stream.
      --sandbox
                 operate in sandbox mode (disable e/r/w commands).
  -u, --unbuffered
                 load minimal amounts of data from the input files and flush
                 the output buffers more often
  -z, --null-data
                 separate lines by NUL characters
      --help     display this help and exit
      --version  output version information and exit

If no -e, --expression, -f, or --file option is given, then the first
non-option argument is taken as the sed script to interpret.  All
remaining arguments are names of input files; if no input files are
specified, then the standard input is read.

GNU sed home page: <https://www.gnu.org/software/sed/>.
General help using GNU software: <https://www.gnu.org/gethelp/>.",0.263138867,0.218530307,0.0,1,FALNLC,FALNLC,FALNLC
